================================================================================
OPTİMİZASYON BAŞARILI — OPTIMAL
================================================================================

17_Mayis | Kocaeli-Eskişehir | Kamyon: Kiralık=1, Spot=0 (Toplam 12000 desi)
17_Mayis | Kocaeli-Eskişehir | Kamyonet: Kiralık=0, Spot=1 (Toplam 5600 desi)
11_Mayis | Kocaeli-İstanbul | Tir: Kiralık=1, Spot=0 (Toplam 22400 desi)
12_Mayis | Kocaeli-İstanbul | Tir: Kiralık=1, Spot=0 (Toplam 22400 desi)
13_Mayis | Kocaeli-İstanbul | Tir: Kiralık=1, Spot=0 (Toplam 22400 desi)
14_Mayis | Kocaeli-İstanbul | Tir: Kiralık=1, Spot=0 (Toplam 22400 desi)
15_Mayis | Kocaeli-İstanbul | Tir: Kiralık=1, Spot=0 (Toplam 22400 desi)
16_Mayis | Kocaeli-İstanbul | Tir: Kiralık=1, Spot=0 (Toplam 22400 desi)
17_Mayis | Kocaeli-İstanbul | Tir: Kiralık=1, Spot=0 (Toplam 22400 desi)
11_Mayis | Kocaeli-Bilecik | Tir: Kiralık=0, Spot=1 (Toplam 22400 desi)
12_Mayis | Kocaeli-Bilecik | Tir: Kiralık=0, Spot=1 (Toplam 22400 desi)
